osmium-201,osmium 201,osmium,osmium,76,125,-15239,298,1,7851,1,1,200.98364,0.00032,1
iridium-201,iridium 201,iridium,iridium,77,124,-19897,196,1,7871,1,1,200.97864,0.00021,1
radium-201,radium 201,radium,radium,88,113,11936.801,20.301,0,7669.41,0.101,0,201.012814683,2.1794e-05,0
osmium-202,osmium 202,osmium,osmium,76,126,-13087,401,1,7842,2,1,201.98595,0.00043,1
iridium-202,iridium 202,iridium,iridium,77,125,-16776,298,1,7856,1,1,201.98199,0.00032,1
osmium-203,osmium 203,osmium,osmium,76,127,-7640,401,1,7816,2,1,202.991798,0.00043,1
iridium-203,iridium 203,iridium,iridium,77,126,-14690,401,1,7847,2,1,202.98423,0.00043,1
platinum-203,platine 203,platinum,platine,78,125,-19627,196,1,7867,1,1,202.97893,0.00021,1
iridium-204,iridium 204,iridium,iridium,77,127,-9688,401,1,7824,2,1,203.9896,0.00043,1
platinum-204,platine 204,platinum,platine,78,126,-17922,196,1,7860,1,1,203.98076,0.00021,1
iridium-205,iridium 205,iridium,iridium,77,128,-5960,503,1,7807,2,1,204.993602,0.00054,1
platinum-205,platine 205,platinum,platine,78,127,-12966,298,1,7837,1,1,204.98608,0.00032,1
platinum-206,platine 206,platinum,platine,78,128,-9632,298,1,7822,1,1,205.98966,0.00032,1
gold-206,or 206,gold,or,79,127,-14215,298,1,7840,1,1,205.98474,0.00032,1
platinum-207,platine 207,platinum,platine,78,129,-4540,401,1,7798,2,1,206.995126,0.00043,1
gold-207,or 207,gold,or,79,128,-10810,300,1,7825,1,1,206.988395,0.000322,1
platinum-208,platine 208,platinum,platine,78,130,-990,400,1,7783,2,1,207.998937,0.000429,1
gold-208,or 208,gold,or,79,129,-6101,298,1,7804,1,1,207.99345,0.00032,1
thorium-208,thorium 208,thorium,thorium,90,118,16683.73,34.19,0,7652.592,0.164,0,208.017910722,3.6704e-05,0
gold-209,or 209,gold,or,79,130,-2540,400,1,7788,2,1,208.997273,0.000429,1
gold-210,or 210,gold,or,79,131,2329,401,1,7766,2,1,210.0025,0.00043,1
mercury-211,mercure 211,mercury,mercure,80,131,-624,196,1,7778,1,1,210.99933,0.00021,1
protactinium-211,protactinium 211,protactinium,protactinium,91,120,22080,102,1,7629,0,1,211.023704,0.00011,1
mercury-212,mercure 212,mercury,mercure,80,132,2757,298,1,7763,1,1,212.00296,0.00032,1
mercury-213,mercure 213,mercury,mercure,80,133,7666,298,1,7741,1,1,213.00823,0.00032,1
thallium-213,thallium 213,thallium,thallium,81,132,1783.811,27.013,0,7765.43,0.127,0,213.001915,2.9e-05,0
mercury-214,mercure 214,mercury,mercure,80,134,11178,401,1,7727,2,1,214.012,0.00043,1
thallium-214,thallium 214,thallium,thallium,81,133,6465,196,1,7745,1,1,214.00694,0.00021,1
